"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9557","EC-570: Check whether the Embedded App URL field is displayed (Qase ID: 570)","chromium","2026-01-30","passed","2026-01-30","","AddEpicEmbedConnectionTests/EC-570.spec.js","",""
"","8040","EC-166: Check whether user is able to click on Delete Connection button (Qase ID: 166)","chromium","2026-01-30","passed","2026-01-30","","DeleteConnectionTests/EC-166.spec.js","",""
"","7504","EC-149: Check whether user is able to see Edit button (Qase ID: 149)","chromium","2026-01-30","passed","2026-01-30","","EditConnectionTests/EC-149.spec.js","",""
"","10015","EC-148: Check whether user is able to redirect to the connection detail page (Qase ID: 148)","chromium","2026-01-30","passed","2026-01-30","","EditConnectionTests/EC-148.spec.js","",""
"","9549","EC-568: Check whether the Client Secret value is masked when entered (Qase ID: 568)","chromium","2026-01-30","passed","2026-01-30","","AddEpicEmbedConnectionTests/EC-568.spec.js","",""
"","4728","EC-259: Check whether user is able to see Connections option or not (Qase ID: 259)","chromium","2026-01-30","passed","2026-01-30","","DashboardTests/EC-259.spec.js","",""
"","9902","EC-557: Check whether the Connection Type field is displayed as read-only with value Embed (Qase ID: 557)","chromium","2026-01-30","passed","2026-01-30","","AddEpicEmbedConnectionTests/EC-557.spec.js","",""
"","7623","EC-534: Check whether a validation error is shown when Client ID is left empty (Qase ID: 534)","chromium","2026-01-30","passed","2026-01-30","","AddEpicBackendConnectionTests/EC-534.spec.js","",""
"","4804","EC-258: Check whether user is able to see Profile option or not (Qase ID: 258)","chromium","2026-01-30","passed","2026-01-30","","DashboardTests/EC-258.spec.js","",""
"","10474","EC-125: Check whether user is able to enter Client Secret or not (Qase ID: 125)","chromium","2026-01-30","passed","2026-01-30","","AddStandaloneConnectionTests/EC-125.spec.js","",""
"","9521","EC-115: Check whether user is able to enter Connection Name or not (Qase ID: 115)","chromium","2026-01-30","passed","2026-01-30","","AddStandaloneConnectionTests/EC-115.spec.js","",""
"","7572","EC-485: Check whether user is able to search for the connection (Qase ID: 485)","chromium","2026-01-30","passed","2026-01-30","","ConnectionsTests/EC-485.spec.js","",""
"","7567","EC-488: Check whether user is able to see added connection list (Qase ID: 488)","chromium","2026-01-30","passed","2026-01-30","","ConnectionsTests/EC-488.spec.js","",""
"","7567","EC-154: Check whether user is able to click on Auto-detect button (Qase ID: 154)","chromium","2026-01-30","passed","2026-01-30","","EditConnectionTests/EC-154.spec.js","",""
"","7505","EC-517: Check whether the page resets to page 1 after changing the items-per-page value (Qase ID: 517)","chromium","2026-01-30","passed","2026-01-30","","ConnectionsTests/EC-517.spec.js","",""
"","7656","EC-150: Check whether user is able to click on Edit button (Qase ID: 150)","chromium","2026-01-30","passed","2026-01-30","","EditConnectionTests/EC-150.spec.js","",""
"","7849","EC-157: Check whether user is able to edit Scopes (Qase ID: 157)","chromium","2026-01-30","passed","2026-01-30","","EditConnectionTests/EC-157.spec.js","",""
"","6189","EC-261: Check whether user is able to click on the View Connections button or not (Qase ID: 261)","chromium","2026-01-30","passed","2026-01-30","","DashboardTests/EC-261.spec.js","",""
"","2414","EC-71: Check whether user is able to open login page or not (Qase ID: 71)","chromium","2026-01-30","passed","2026-01-30","","LoginTests/EC-71.spec.js","",""
"","9722","EC-564: Check whether a validation message is displayed when Client ID is left empty (Qase ID: 564)","chromium","2026-01-30","passed","2026-01-30","","AddEpicEmbedConnectionTests/EC-564.spec.js","",""
"","7364","EC-262: Check whether user redirects to Connections page after clicking View Connections (Qase ID: 262)","chromium","2026-01-30","passed","2026-01-30","","DashboardTests/EC-262.spec.js","",""
"","7410","EC-167: Check whether user is able to see a popup window of delete connection page (Qase ID: 167)","chromium","2026-01-30","passed","2026-01-30","","DeleteConnectionTests/EC-167.spec.js","",""
"","8549","EC-549: Check whether a success message is displayed after successful connection creation (Qase ID: 549)","chromium","2026-01-30","passed","2026-01-30","","AddEpicBackendConnectionTests/EC-549.spec.js","",""
"","9593","EC-563: Check whether the Client ID field is marked as mandatory (Qase ID: 563)","chromium","2026-01-30","passed","2026-01-30","","AddEpicEmbedConnectionTests/EC-563.spec.js","",""
"","7505","EC-510: Check whether the last page displays the remaining connections correctly (Qase ID: 510)","chromium","2026-01-30","passed","2026-01-30","","ConnectionsTests/EC-510.spec.js","",""
"","9752","EC-574: Check whether the EHR Launch URL indicates that it will be generated automatically (Qase ID: 574)","chromium","2026-01-30","passed","2026-01-30","","AddEpicEmbedConnectionTests/EC-574.spec.js","",""
"","7465","EC-505: Check whether the Previous button does not navigate before the first page (Qase ID: 505)","chromium","2026-01-30","passed","2026-01-30","","ConnectionsTests/EC-505.spec.js","",""
"","8404","EC-550: Check whether user is able to click Add New Connection button (Qase ID: 550)","chromium","2026-01-30","passed","2026-01-30","","AddEpicEmbedConnectionTests/EC-550.spec.js","",""
"","3778","EC-82: Check whether the user is able to Log In using invalid Password (Qase ID: 82)","chromium","2026-01-30","passed","2026-01-30","","LoginTests/EC-82.spec.js","",""
"","10489","EC-553: Check whether Add Epic Integration page loads successfully (Qase ID: 553)","chromium","2026-01-30","passed","2026-01-30","","AddEpicEmbedConnectionTests/EC-553.spec.js","",""
"","7465","EC-497: Check whether user opens Test connection page after clicking on Test button (Qase ID: 497)","chromium","2026-01-30","passed","2026-01-30","","ConnectionsTests/EC-497.spec.js","",""
"","11509","EC-132: Check whether user is able to see Key ID field or not (Qase ID: 132)","chromium","2026-01-30","passed","2026-01-30","","AddStandaloneConnectionTests/EC-132.spec.js","",""
"","9578","EC-573: Check whether the EHR Launch URL field is displayed as read-only (Qase ID: 573)","chromium","2026-01-30","passed","2026-01-30","","AddEpicEmbedConnectionTests/EC-573.spec.js","",""
"","4747","EC-257: Check whether user is able to see Settings option or not (Qase ID: 257)","chromium","2026-01-30","passed","2026-01-30","","DashboardTests/EC-257.spec.js","",""
"","1740","EC-88: Check whether user can enter password with combination of space in Password field (Qase ID: 88)","chromium","2026-01-30","passed","2026-01-30","","LoginTests/EC-88.spec.js","",""
"","7865","EC-165: Check whether user is able to see Delete Connection button on the edit page (Qase ID: 165)","chromium","2026-01-30","passed","2026-01-30","","DeleteConnectionTests/EC-165.spec.js","",""
"","2788","EC-91: Check whether user is able to set only space as password (Qase ID: 91)","chromium","2026-01-30","passed","2026-01-30","","LoginTests/EC-91.spec.js","",""
"","7556","EC-503: Check whether clicking the Previous button navigates to the immediate previous page (Qase ID: 503)","chromium","2026-01-30","passed","2026-01-30","","ConnectionsTests/EC-503.spec.js","",""
"","7604","EC-535: Check whether user is able to enter Base URL (FHIR Endpoint) (Qase ID: 535)","chromium","2026-01-30","passed","2026-01-30","","AddEpicBackendConnectionTests/EC-535.spec.js","",""
"","9660","EC-566: Check whether the Client Secret field is displayed (Qase ID: 566)","chromium","2026-01-30","passed","2026-01-30","","AddEpicEmbedConnectionTests/EC-566.spec.js","",""
"","9509","EC-119: Check whether user is able to select EHR System from dropdown or not (Qase ID: 119)","chromium","2026-01-30","passed","2026-01-30","","AddStandaloneConnectionTests/EC-119.spec.js","",""
"","7841","EC-168: Check whether Delete Connection button is enabled if user enters the correct connection name (Qase ID: 168)","chromium","2026-01-30","passed","2026-01-30","","DeleteConnectionTests/EC-168.spec.js","",""
"","7819","EC-543: Check whether RS384 is selected as the default Algorithm (Qase ID: 543)","chromium","2026-01-30","passed","2026-01-30","","AddEpicBackendConnectionTests/EC-543.spec.js","",""
"","11399","EC-140: Check whether user is able to see required field indicators or not (Qase ID: 140)","chromium","2026-01-30","passed","2026-01-30","","AddStandaloneConnectionTests/EC-140.spec.js","",""
"","11497","EC-130: Check whether user is able to see Private Key field or not (Qase ID: 130)","chromium","2026-01-30","passed","2026-01-30","","AddStandaloneConnectionTests/EC-130.spec.js","",""
"","12189","EC-146: Check whether user can close the form using X button or escape key or not (Qase ID: 146)","chromium","2026-01-30","passed","2026-01-30","","AddStandaloneConnectionTests/EC-146.spec.js","",""
"","10888","EC-521: Check whether Add Epic Integration page loads successfully (Qase ID: 521)","chromium","2026-01-30","passed","2026-01-30","","AddEpicBackendConnectionTests/EC-521.spec.js","",""
"","7569","EC-529: Check whether EHR System field is prefilled as Epic (Qase ID: 529)","chromium","2026-01-30","passed","2026-01-30","","AddEpicBackendConnectionTests/EC-529.spec.js","",""
"","7981","EC-514: Check that when user selects 25 from items-per-page, it will show 25 connections (Qase ID: 514)","chromium","2026-01-30","passed","2026-01-30","","ConnectionsTests/EC-514.spec.js","",""
"","8846","EC-522: Check whether the Back button is displayed on the page (Qase ID: 522)","chromium","2026-01-30","passed","2026-01-30","","AddEpicBackendConnectionTests/EC-522.spec.js","",""
"","10516","EC-580: Check whether a success message or notification is displayed after successful submission (Qase ID: 580)","chromium","2026-01-30","passed","2026-01-30","","AddEpicEmbedConnectionTests/EC-580.spec.js","",""
"","7707","EC-152: Check whether user is able to edit client Id and client secret (Qase ID: 152)","chromium","2026-01-30","passed","2026-01-30","","EditConnectionTests/EC-152.spec.js","",""
"","7673","EC-487: Check whether user is able to see Filter option (Qase ID: 487)","chromium","2026-01-30","passed","2026-01-30","","ConnectionsTests/EC-487.spec.js","",""
"","13192","EC-268: Check whether user redirects to Audit Logs page after clicking View All Logs (Qase ID: 268)","chromium","2026-01-30","passed","2026-01-30","","DashboardTests/EC-268.spec.js","",""
"","9387","EC-127: Check whether user is able to enter Token URL or not (Qase ID: 127)","chromium","2026-01-30","passed","2026-01-30","","AddStandaloneConnectionTests/EC-127.spec.js","",""
"","9268","EC-143: Check whether Base URL field validates URL format or not (Qase ID: 143)","chromium","2026-01-30","passed","2026-01-30","","AddStandaloneConnectionTests/EC-143.spec.js","",""
"","8052","EC-546: Check whether the JWKS URL field is displayed (Qase ID: 546)","chromium","2026-01-30","passed","2026-01-30","","AddEpicBackendConnectionTests/EC-546.spec.js","",""
"","10407","EC-135: Check whether user is able to click on Cancel button or not (Qase ID: 135)","chromium","2026-01-30","passed","2026-01-30","","AddStandaloneConnectionTests/EC-135.spec.js","",""
"","7472","EC-495: Check whether user is able to see Manage and Test actions in the Actions column (Qase ID: 495)","chromium","2026-01-30","passed","2026-01-30","","ConnectionsTests/EC-495.spec.js","",""
"","7473","EC-162: Check whether user is able to edit Application Return URL (Qase ID: 162)","chromium","2026-01-30","passed","2026-01-30","","EditConnectionTests/EC-162.spec.js","",""
"","10699","EC-554: Check whether the Back button is displayed on the page (Qase ID: 554)","chromium","2026-01-30","passed","2026-01-30","","AddEpicEmbedConnectionTests/EC-554.spec.js","",""
"","7673","EC-536: Check whether user is able to click on Auto-detect button (Qase ID: 536)","chromium","2026-01-30","passed","2026-01-30","","AddEpicBackendConnectionTests/EC-536.spec.js","",""
"","4759","EC-264: Check whether user is able to see Active Workflows count on dashboard (Qase ID: 264)","chromium","2026-01-30","passed","2026-01-30","","DashboardTests/EC-264.spec.js","",""
"","9512","EC-117: Check whether user is able to enter Description or not (Qase ID: 117)","chromium","2026-01-30","passed","2026-01-30","","AddStandaloneConnectionTests/EC-117.spec.js","",""
"","7506","EC-155: Check that after clicking on Auto-detect button OAuth Token URL field gets fill automatically (Qase ID: 155)","chromium","2026-01-30","passed","2026-01-30","","EditConnectionTests/EC-155.spec.js","",""
"","4507","EC-75: Check whether user is able to see Username and Password fields on the login page or not (Qase ID: 75)","chromium","2026-01-30","passed","2026-01-30","","LoginTests/EC-75.spec.js","",""
"","3727","EC-78: Check whether the user is able to Log In using unregistered Username id (Qase ID: 78)","chromium","2026-01-30","passed","2026-01-30","","LoginTests/EC-78.spec.js","",""
"","7494","EC-496: Check whether user opens Edit connection page after clicking on Manage button (Qase ID: 496)","chromium","2026-01-30","passed","2026-01-30","","ConnectionsTests/EC-496.spec.js","",""
"","10428","EC-136: Check whether form closes after clicking Cancel button or not (Qase ID: 136)","chromium","2026-01-30","passed","2026-01-30","","AddStandaloneConnectionTests/EC-136.spec.js","",""
"","4761","EC-265: Check whether user is able to see License Remaining count on dashboard (Qase ID: 265)","chromium","2026-01-30","passed","2026-01-30","","DashboardTests/EC-265.spec.js","",""
"","9239","EC-133: Check whether user is able to enter Key ID or not (Qase ID: 133)","chromium","2026-01-30","passed","2026-01-30","","AddStandaloneConnectionTests/EC-133.spec.js","",""
"","8536","EC-548: Check whether clicking Create Connection submits the form successfully (Qase ID: 548)","chromium","2026-01-30","passed","2026-01-30","","AddEpicBackendConnectionTests/EC-548.spec.js","",""
"","7940","EC-156: Check whether user is able to edit OAuth Authorization URL (Qase ID: 156)","chromium","2026-01-30","passed","2026-01-30","","EditConnectionTests/EC-156.spec.js","",""
"","7564","EC-493: Check whether user is able to see three options on the popup window as Cancel, View Workflows and Disable Anyway (Qase ID: 493)","chromium","2026-01-30","passed","2026-01-30","","ConnectionsTests/EC-493.spec.js","",""
"","8871","EC-518: Check whether user is able to click Add New Connection button (Qase ID: 518)","chromium","2026-01-30","passed","2026-01-30","","AddEpicBackendConnectionTests/EC-518.spec.js","",""
"","9454","EC-576: Check whether the OAuth Callback URL field is read-only (Qase ID: 576)","chromium","2026-01-30","passed","2026-01-30","","AddEpicEmbedConnectionTests/EC-576.spec.js","",""
"","4876","EC-254: Check whether user is able to see Dashboard page UI properly or not (Qase ID: 254)","chromium","2026-01-30","passed","2026-01-30","","DashboardTests/EC-254.spec.js","",""
"","11874","EC-138: Check whether user is able to click on Save/Submit button or not (Qase ID: 138)","chromium","2026-01-30","passed","2026-01-30","","AddStandaloneConnectionTests/EC-138.spec.js","",""
"","7555","EC-502: Check whether the Previous and Next buttons are displayed when pagination is available (Qase ID: 502)","chromium","2026-01-30","passed","2026-01-30","","ConnectionsTests/EC-502.spec.js","",""
"","2830","EC-81: Check whether the user is able to Log In without entering Password (Qase ID: 81)","chromium","2026-01-30","passed","2026-01-30","","LoginTests/EC-81.spec.js","",""
"","9852","EC-559: Check whether the Connection Name field accepts valid alphanumeric input (Qase ID: 559)","chromium","2026-01-30","passed","2026-01-30","","AddEpicEmbedConnectionTests/EC-559.spec.js","",""
"","7499","EC-507: Check whether the page number increments correctly after clicking the Next button (Qase ID: 507)","chromium","2026-01-30","passed","2026-01-30","","ConnectionsTests/EC-507.spec.js","",""
"","9532","EC-572: Check whether a validation error is displayed for an invalid Embedded App URL (Qase ID: 572)","chromium","2026-01-30","passed","2026-01-30","","AddEpicEmbedConnectionTests/EC-572.spec.js","",""
"","8307","EC-551: Check whether user is able to select EHR system Epic (Qase ID: 551)","chromium","2026-01-30","passed","2026-01-30","","AddEpicEmbedConnectionTests/EC-551.spec.js","",""
"","7994","EC-525: Check whether the page subtitle ""Configure your backend service integration"" is displayed (Qase ID: 525)","chromium","2026-01-30","passed","2026-01-30","","AddEpicBackendConnectionTests/EC-525.spec.js","",""
"","8124","EC-490: Check whether user is able to see Active and inactive status of the integration (Qase ID: 490)","chromium","2026-01-30","passed","2026-01-30","","ConnectionsTests/EC-490.spec.js","",""
"","9377","EC-145: Check whether form retains data after validation error or not (Qase ID: 145)","chromium","2026-01-30","passed","2026-01-30","","AddStandaloneConnectionTests/EC-145.spec.js","",""
"","1714","EC-90: Check whether user is able to paste password in the Password field (Qase ID: 90)","chromium","2026-01-30","passed","2026-01-30","","LoginTests/EC-90.spec.js","",""
"","9550","EC-577: Check whether the OAuth Callback URL is auto-generated after required fields are filled (Qase ID: 577)","chromium","2026-01-30","passed","2026-01-30","","AddEpicEmbedConnectionTests/EC-577.spec.js","",""
"","7715","EC-545: Check whether clicking Generate New Keypair generates a new keypair (Qase ID: 545)","chromium","2026-01-30","passed","2026-01-30","","AddEpicBackendConnectionTests/EC-545.spec.js","",""
"","9424","EC-571: Check whether the Embedded App URL field accepts a valid URL format (Qase ID: 571)","chromium","2026-01-30","passed","2026-01-30","","AddEpicEmbedConnectionTests/EC-571.spec.js","",""
"","11395","EC-124: Check whether user is able to see Client Secret field or not (Qase ID: 124)","chromium","2026-01-30","passed","2026-01-30","","AddStandaloneConnectionTests/EC-124.spec.js","",""
"","2668","EC-92: Check whether user is able to Sign In by keeping both fields blank (Qase ID: 92)","chromium","2026-01-30","passed","2026-01-30","","LoginTests/EC-92.spec.js","",""
"","7583","EC-509: Check whether the first page is loaded by default when the Connections page is opened (Qase ID: 509)","chromium","2026-01-30","passed","2026-01-30","","ConnectionsTests/EC-509.spec.js","",""
"","7599","EC-511: Check whether 8 connections per page are displayed by default (Qase ID: 511)","chromium","2026-01-30","passed","2026-01-30","","ConnectionsTests/EC-511.spec.js","",""
"","9424","EC-556: Check whether the EHR System field is displayed as read-only with value Epic (Qase ID: 556)","chromium","2026-01-30","passed","2026-01-30","","AddEpicEmbedConnectionTests/EC-556.spec.js","",""
"","7569","EC-489: Check whether user is able to see the table columns like Connection ID, Source, Connection Name, Type, Status, Actions (Qase ID: 489)","chromium","2026-01-30","passed","2026-01-30","","ConnectionsTests/EC-489.spec.js","",""
"","7508","EC-528: Check whether a validation message is displayed when Connection Name is left empty (Qase ID: 528)","chromium","2026-01-30","passed","2026-01-30","","AddEpicBackendConnectionTests/EC-528.spec.js","",""
"","9473","EC-131: Check whether user is able to enter Private Key or not (Qase ID: 131)","chromium","2026-01-30","passed","2026-01-30","","AddStandaloneConnectionTests/EC-131.spec.js","",""
"","8916","EC-519: Check whether user is able to select EHR system Epic (Qase ID: 519)","chromium","2026-01-30","passed","2026-01-30","","AddEpicBackendConnectionTests/EC-519.spec.js","",""
"","4475","EC-72: Check whether all login-related elements and fields are present on the login page or not (Qase ID: 72)","chromium","2026-01-30","passed","2026-01-30","","LoginTests/EC-72.spec.js","",""
"","7529","EC-542: Check whether the Algorithm dropdown is displayed (Qase ID: 542)","chromium","2026-01-30","passed","2026-01-30","","AddEpicBackendConnectionTests/EC-542.spec.js","",""
"","4546","EC-74: Check whether the size, color, and UI of different elements is matching the specifications or not (Qase ID: 74)","chromium","2026-01-30","passed","2026-01-30","","LoginTests/EC-74.spec.js","",""
"","7753","EC-547: Check whether the Validate JWT Configuration button is disabled before saving (Qase ID: 547)","chromium","2026-01-30","passed","2026-01-30","","AddEpicBackendConnectionTests/EC-547.spec.js","",""
"","8445","EC-520: Check whether user is able to select Backend to Backend integration type (Qase ID: 520)","chromium","2026-01-30","passed","2026-01-30","","AddEpicBackendConnectionTests/EC-520.spec.js","",""
"","7948","EC-480: Check whether user is able to see Add New Connections button (Qase ID: 480)","chromium","2026-01-30","passed","2026-01-30","","ConnectionsTests/EC-480.spec.js","",""
"","7542","EC-161: Check whether user is able to edit V2 scopes (Qase ID: 161)","chromium","2026-01-30","passed","2026-01-30","","EditConnectionTests/EC-161.spec.js","",""
"","7578","EC-532: Check whether the Client ID field is marked as mandatory (Qase ID: 532)","chromium","2026-01-30","passed","2026-01-30","","AddEpicBackendConnectionTests/EC-532.spec.js","",""
"","4713","EC-260: Check whether user is able to see View Connections button or not (Qase ID: 260)","chromium","2026-01-30","passed","2026-01-30","","DashboardTests/EC-260.spec.js","",""
"","7670","EC-544: Check whether the Generate New Keypair button is displayed (Qase ID: 544)","chromium","2026-01-30","passed","2026-01-30","","AddEpicBackendConnectionTests/EC-544.spec.js","",""
"","7773","EC-499: Check whether pagination controls are displayed when the number of connections exceeds the page limit (Qase ID: 499)","chromium","2026-01-30","passed","2026-01-30","","ConnectionsTests/EC-499.spec.js","",""
"","9482","EC-112: Check whether user is able to click on Add Standalone Connection button or not (Qase ID: 112)","chromium","2026-01-30","passed","2026-01-30","","AddStandaloneConnectionTests/EC-112.spec.js","",""
"","10637","EC-552: Check whether user is able to select SMART on FHIR Embed integration type (Qase ID: 552)","chromium","2026-01-30","passed","2026-01-30","","AddEpicEmbedConnectionTests/EC-552.spec.js","",""
"","11508","EC-116: Check whether user is able to see Description field or not (Qase ID: 116)","chromium","2026-01-30","passed","2026-01-30","","AddStandaloneConnectionTests/EC-116.spec.js","",""
"","9245","EC-113: Check whether user is able to see Add Standalone Connection form/modal or not (Qase ID: 113)","chromium","2026-01-30","passed","2026-01-30","","AddStandaloneConnectionTests/EC-113.spec.js","",""
"","11923","EC-122: Check whether user is able to see Client ID field or not (Qase ID: 122)","chromium","2026-01-30","passed","2026-01-30","","AddStandaloneConnectionTests/EC-122.spec.js","",""
"","7529","EC-153: Check whether user is able to edit Base url (Qase ID: 153)","chromium","2026-01-30","passed","2026-01-30","","EditConnectionTests/EC-153.spec.js","",""
"","7662","EC-533: Check whether the Client ID field accepts valid input (Qase ID: 533)","chromium","2026-01-30","passed","2026-01-30","","AddEpicBackendConnectionTests/EC-533.spec.js","",""
"","9953","EC-567: Check whether the Client Secret field is optional (Qase ID: 567)","chromium","2026-01-30","passed","2026-01-30","","AddEpicEmbedConnectionTests/EC-567.spec.js","",""
"","9552","EC-581: Check whether disabled fields (EHR System, Connection Type, EHR Launch URL, OAuth Callback URL) cannot be edited (Qase ID: 581)","chromium","2026-01-30","passed","2026-01-30","","AddEpicEmbedConnectionTests/EC-581.spec.js","",""
"","9201","EC-141: Check whether Connection Name field accepts special characters or not (Qase ID: 141)","chromium","2026-01-30","passed","2026-01-30","","AddStandaloneConnectionTests/EC-141.spec.js","",""
"","7921","EC-501: Check whether the Next button is disabled on the last page (Qase ID: 501)","chromium","2026-01-30","passed","2026-01-30","","ConnectionsTests/EC-501.spec.js","",""
"","9571","EC-560: Check whether a validation message is displayed when Connection Name is left empty (Qase ID: 560)","chromium","2026-01-30","passed","2026-01-30","","AddEpicEmbedConnectionTests/EC-560.spec.js","",""
"","9580","EC-565: Check whether the Client ID field accepts valid input (Qase ID: 565)","chromium","2026-01-30","passed","2026-01-30","","AddEpicEmbedConnectionTests/EC-565.spec.js","",""
"","1751","EC-87: Check whether user can enter only numbers in Password field (Qase ID: 87)","chromium","2026-01-30","passed","2026-01-30","","LoginTests/EC-87.spec.js","",""
"","7947","EC-147: Check whether user is able to click on Manage button of added connection (Qase ID: 147)","chromium","2026-01-30","passed","2026-01-30","","EditConnectionTests/EC-147.spec.js","",""
"","1661","EC-79: Check whether the user can enter characters more than specified range in Username field (Qase ID: 79)","chromium","2026-01-30","passed","2026-01-30","","LoginTests/EC-79.spec.js","",""
